English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
What is the length of the diaginal of a square with side 2 meter?,একটি বর্গক্ষেত্রের এক বাহুর 2 মিটার হলে এর কর্ণ কত?,\sqrt{2}m,2\sqrt{2}m,4m,8m,\sqrt{2} মি.,2\sqrt{2} মি.,4 মি.,8 মি.,b
1 acre = ?,1 একর = কত বর্গমিটার?,4046.86sq.m,4064.86sq.m,4406.86sq.m,4640.86sq.m,4046.86 বর্গ মিটার,4064.66 বর্গ মিটার,4406.86 বর্গ মিটার,4640.86 বর্গ মিটার,a
"If \left ( 3a + \frac{3}{a} \right ) = 9, then-
 i. \left ( a + \frac{1}{a} \right )^{2} = 3
 ii. a + \frac{1}{a} = 1
 iii. a^{2} + \frac{1}{a^{2}} = - 1
 which one is correct?","\left ( 3a + \frac{3}{a} \right ) = 9 হলে-
 i. \left ( a + \frac{1}{a} \right )^{2} = 3
 ii. a + \frac{1}{a} = 1
 iii. a^{2} + \frac{1}{a^{2}} = - 1
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
"If a = x + \frac{1]{x} and b = \frac{1}{x} - x, then (a - b)^{2} = ?",a = x + \frac{1]{x} এবং b = \frac{1}{x} - x হলে (a - b)^{2} = কত?,2x,4x,4x2,0,2x,4x,4x2,0,c
"If a - 1 is a factor of 3 - 1, then which one is the another factor?",a^{3} - 1 এর একটি উৎপাদক a - 1 হলে অপরটি কত?,a + 1,a2 - a - 1,1 + a + a2,1 - a - a2,a + 1,a2 - a - 1,1 + a + a2,1 - a - a2,c
What is the simplified value of \frac{2}{a} + \frac{3}{a} - \frac{4}{a}?,\frac{2}{a} + \frac{3}{a} - \frac{4}{a} এর সরল ফল কত?,\frac{4}{a},\frac{3}{a},\frac{2}{a},\frac{1}{a},\frac{4}{a},\frac{3}{a},\frac{2}{a},\frac{1}{a},d
"Which one is the H, C, F of x^{2} - 2 and x^{2} - 4?",x^{2} - 2 এবং x^{2} - 4 এর গ.সা.গু নিচের কোনটি?,1,x + 2,x - 2,x^{2} - 2,1,x + 2,x - 2,x^{2} - 2,a
"If x = \frac{p}{q} and y = 1 - \frac{p}{q}, then - 
 i. x + y = 0
 ii. \frac{x}{y} = -1
 iii. xy = \frac{(p - 1)^{2}}{q^{2}}
 Which one is correct?","x = \frac{p}{q} এবং y = 1 - \frac{p}{q} হলে- - 
  i. x + y = 0
  ii. \frac{x}{y} = -1
  iii. xy = \frac{(p - 1)^{2}}{q^{2}}
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
"If x - y = 2p and px + qy = p^{2} + q^{2} then (x, y) = ?","x - y = 2p এবং px + qy = p^{2} + q^{2} হলে, (x, y) = কত?","(p - q, p + q)","(q - p, o + q)","(p + q, p - q)","(p + q, q - p)","(p - q, p + q)","(q - p, p + q)","(p + q, p - q)","(p + q, q - p)",d
"In which quadrant ( - 3, - 2) is located?","(-3, -2) বিন্দুটি লেখচিত্রের কোন চতুর্ভাগে অবস্থিত?",4th,3rd,2nd,1st,4র্থ,3য়,2য়,1ম,b
"How many subsets has the set p = {1, 2, 3, 4}","p = {1, 2, 3, 4} এর উপসেট কতটি?",4,8,15,16,4,8,15,16,d
"P = {X : X, factor of 4 and 1 < x < 8}
 Q = {X:X is even number and 1 < x < 6}
 
 The set P = ?","P = {x : x, 4 এর গুণনীয়ক এবং 1 < x <8} 
 Q = {x : x, জোড় সংখ্যা এবং 1 < x < 6}
 P সেট কোনটি?","{2, 4}","{1, 4}","{1, 2}","{1, 2, 4}","{2, 4}","{1, 4}","{1, 2}","{1, 2, 4}",a
"P = {X:X, factor of 4 and 1 < x < 8}
 Q = {X:X is even number and 1 < x < 6}
 
 Which one of the following is Q/P?","P = {x : x, 4 এর গুণনীয়ক এবং 1 < x <8}
 Q = {x : x, জোড় সংখ্যা এবং 1 < x < 6}
 Q/P সেট নিচের কোনটি?",{ },{ \varnothing },{4},{6},{ },{\varnothing},{4},{6},a
What is sum of four angles of a kite?,ঘুড়ির চার কোণের সমষ্টি কত?,180\degree,270\degree,300\degree,360\degree,180\degree,270\degree,300\degree,360\degree,d
"If a + b = 4 and a - b = 2, then a^{3} - b^{3} = ?",a + b = 4 এবং a - b = 2 হলে a^{3} - b^{3} = কত?,27,26,8,1,27,26,8,1,b
What is the simplifid value of \frac{1}{a - 2} - \frac{a}{a^{2} -4}?,\frac{1}{a - 2} - \frac{a}{a^{2} -4} এর সরল মান কোনটি?,\frac{2}{a - 2},\frac{-2}{a + 2},\frac{-2}{a^{2} + 4},\frac{a^{2} - 4},\frac{2}{a - 2},\frac{-2}{a + 2},\frac{-2}{a^{2} + 4},\frac{a^{2} - 4},d
How many type of measuring the central tendency are there in Statisties?,কেন্দ্রীয় প্রবণতার পরিমাপ কয়টি?,1,2,3,4,1টি,2টি,3টি,4টি,c
What is the class interval of the class ' 6 - 10'?,“6 - 10” শ্রেণির শ্রেণিব্যাপ্তি কত?,4,5,6,10,4,5,6,10,b
"What is the arithmetic mean of the data 0, 0, 2, 4, 6, 8, 7, 3, ?","0, 0, 2, 4, 6, 8, 7, 3 উপাত্তাগুলোর গড় নিচের কোনটি?",3.75,5,5.75,6,3.75,5,5.75,6,a
"Which algebraic expression does the pattern 1, 3, 5, 7………..express?","1, 3, 5, 7, .... প্যাটার্ণটি কোন বীজগাণিতিক রাশি দ্বারা প্রকাশ করা যায়?",A + 1,2A + 1,2A - 1,3A - 2,ক + 1,2ক + 1,2ক - 1,3ক - 2,c
Which one is the prime factor of 20?,20 এর মৌলিক গুণনীয়ক কোনটি?,1,5,10,20,1,5,10,20,b
