English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
An arrow throws into a wall losses half its velocity after penetrating 3 inches. How far will it penetrate before coming to rest?,একটি তীর একটি দেয়ালের ভিতর 3 ইঞ্চি ঢুকার পর তার অর্ধেক বেগ হারায়। তীরটির বেগ শূন্য হওয়ার পূর্বে দেয়ালের ভিতর আর কত ইঞ্চি ঢুকবে?,\frac{1}{2},\frac{1}{3},\frac{2}{3},1,\frac{1}{2},\frac{1}{3},\frac{2}{3},1,d
What is the value of \sqrt[4]{- 49} ?,\sqrt[4]{- 49} এর মান কোনটি?,\pm \sqrt{7}i,\pm \sqrt{\frac{7}{2}} (1 \pm i),\pm \frac{7}{2} ( \pm i),\frac{7}{\sqrt{2}} (1 \pm 2i),\pm \sqrt{7}i,\pm \sqrt{\frac{7}{2}} (1 \pm i),\pm \frac{7}{2} ( \pm i),\frac{7}{\sqrt{2}} (1 \pm 2i),b
"If \alpha, \beta, \gamma be the roots of the equation 3x^{3} - 1 = 0, then \alpha^{3} + \beta^{3} + \gamma^{3} = ?","3x^{3} - 1 = 0 সমীকরণের মূলত্রয় \alpha, \beta, \gamma হলে \alpha^{3} + \beta^{3} + \gamma^{3} = ?",-1,0,\frac{1}{3},1,-1,0,\frac{1}{3},1,d
"If \frac{1}{2 + i} be the one of the roots of a quadratic equation, then the equation will be-",কোনো দ্বিঘাত সমীকরণের একটি মূল \frac{1}{2 + i} হলে সমীকরণটি হবে-,9x^{2} - 12x + 5 = 0,5x^{2} - 4x + 1 = 0,5x^{2} + 14x + 1 = 0,25x^{2} - 20x + 3 = 0,9x^{2} - 12x + 5 = 0,5x^{2} - 4x + 1 = 0,5x^{2} + 14x + 1 = 0,25x^{2} - 20x + 3 = 0,b
"If 3 be the one of the roots of x^{2} - kx + 2 = 0, then-
 i. another root will be \frac{2}{3}
 ii. the value of k will be \frac{11}{3}
 iii. discriminant of the equation will be 7
 Which one is correct?","x^{2} - kx + 2 = 0, সমীকরণের একটি মূল 3 হলে-
 i. অপর মূল \frac{2}{3}
 ii. k এর মান \frac{11}{3}
 iii. প্রদত্ত সমীকরণের নিশ্চায়ক = 7
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",a
What is the value of p if one of the roots of the equation (p^{2} - 4)x^{2} + 4px + (4p + 1) = 0 is the multiplicative inverse of the other?,p^{2} - 4)x^{2} + 4px + (4p + 1) = 0 সমীকরণের মূলদ্বয় পরস্পর গৌণিক বিপরীত হলে p এর মান কত?,"- 1, 5","1, 5","- 2, - 2","- 3, 1","- 1, 5","1, 5","- 2, - 2","- 3, 1",a
"If \alpha, \beta be the roots of the equation \frac{1}{x} - \frac{1}{x - p} = \frac{1}{q}, then-
 i. \alpha + \beta = p
 ii. \alpha\beta = pq 
 iii. \frac{1}{\alpha} + \frac{1}{\beta} = \frac{1}{q}
 Which one is correct?","\frac{1}{x} - \frac{1}{x - p} = \frac{1}{q} সমীকরণের মূলদ্বয় \alpha, \beta হলে-
 i. \alpha + \beta = p
 ii. \alpha\beta = pq 
 iii. \frac{1}{\alpha} + \frac{1}{\beta} = \frac{1}{q}
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",d
The focus of the parabola y^{2} + 4x + 2y - 8 = 0 is-,y^{2} + 4x + 2y - 8 = 0 পরাবৃত্তের উপকেন্দ্র হবে-,"\left ( \frac{9}{4}, -1 \right )","\left ( \frac{9}{4}, -2 \right )","\left ( \frac{5}{4}, -1 \right )","\left ( \frac{13}{4}, -1 \right )","\left ( \frac{9}{4}, -1 \right )","\left ( \frac{9}{4}, -2 \right )","\left ( \frac{5}{4}, -1 \right )","\left ( \frac{13}{4}, -1 \right )",c
Taking the axes of the ellipse as the x and y axes what is the length of minor axis whose majors axis = 12 unit and ecentricity = \frac{1}{3}?,"স্থানাঙ্কের অক্ষদ্বয়কে উপবৃত্তের অক্ষ বিবেচনা করে, বৃহৎ অক্ষের দৈর্ঘ্য 12 একক এবং উৎকেন্দ্রিকতা = \frac{1}{3} হলে ক্ষুদ্রাক্ষের দৈর্ঘ্য কত?",4\sqrt{2},8\sqrt{2},9\sqrt{2},4\sqrt{6},4\sqrt{2},8\sqrt{2},9\sqrt{2},4\sqrt{6},b
"If the parabola y^{2} = 6x touches the line y = mx + c, then-
 i. c = \frac{3}{2m}
 ii. both the parabola and straight line passes through origin
 iii. co-ordinates of touch point \left ( \frac{3}{m^{2}}, \frac{3}{m} \right )
 Which one is correct?","y^{2} = 6x পরাবৃত্তটি y = mx + c, রেখাকে স্পর্শ করলে-
 i. c = \frac{3}{2m}
 ii. পরাবৃত্ত ও সরলরেখার সমীকরণ উভয়ই মূলবিন্দুগামী
 iii. স্পর্শ বিন্দুর স্থানাঙ্ক \left ( \frac{3}{m^{2}}, \frac{3}{m} \right )
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",b
